rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_g,positive_fraction,sign_consistency,snr
1,31,9936,supports_cannot,0.0034806132316589355,0.0034806132316589355,0.0034806132316589355,0.0021871456410735846,1.0,1.0,1.5913952589035034
3,11,11321,supports_cannot,0.0017688274383544922,0.0017688274383544922,0.0017688274383544922,0.000785615062341094,1.0,1.0,2.251519203186035
4,16,1241,supports_cannot,0.0017056465148925781,0.0017056465148925781,0.0017056465148925781,0.00022044579964131117,1.0,1.0,7.737260341644287
5,13,4208,supports_cannot,0.0014386177062988281,0.0014386177062988281,0.0014386177062988281,0.0008840567315928638,1.0,1.0,1.627291202545166
6,25,8701,supports_cannot,0.0012296438217163086,0.0012296438217163086,0.0012296438217163086,0.00019007550145033747,1.0,1.0,6.469238758087158
8,7,6673,supports_cannot,0.0009480118751525879,0.0009480118751525879,0.0009480118751525879,0.00067859300179407,1.0,1.0,1.39702570438385
9,20,2204,supports_cannot,0.0009472370147705078,0.0009472370147705078,0.0009472370147705078,0.0002164266916224733,1.0,1.0,4.376710891723633
10,12,13860,supports_cannot,0.0009112358093261719,0.0009112358093261719,0.0009112358093261719,0.00026825492386706173,1.0,1.0,3.396902561187744
14,22,4821,supports_cannot,0.0007621645927429199,0.0007621645927429199,0.0007621645927429199,0.0002891693729907274,1.0,1.0,2.6357030868530273
18,31,13076,supports_cannot,0.0007137656211853027,0.0007137656211853027,0.0007137656211853027,0.000300369574688375,1.0,1.0,2.376291275024414
19,18,7148,supports_cannot,0.0006702244281768799,0.0006702244281768799,0.0006702244281768799,0.0004723383754026145,1.0,1.0,1.4189497232437134
20,9,4255,supports_cannot,0.0006520748138427734,0.0006520748138427734,0.0006520748138427734,0.0002601286687422544,1.0,1.0,2.506739616394043
21,16,6310,supports_cannot,0.0006505250930786133,0.0006505250930786133,0.0006505250930786133,0.0003474072727840394,1.0,1.0,1.8725143671035767
23,15,5679,supports_cannot,0.0006385445594787598,0.0006385445594787598,0.0006385445594787598,0.00030039483681321144,1.0,1.0,2.1256842613220215
30,31,14073,supports_cannot,0.0005638599395751953,0.0005638599395751953,0.0005638599395751953,0.00026004313258454204,1.0,1.0,2.16833233833313
31,26,529,supports_cannot,0.0005467981100082397,0.0005467981100082397,0.0005467981100082397,0.00027225082158111036,1.0,1.0,2.008435010910034
33,20,1168,supports_cannot,0.0005056262016296387,0.0005056262016296387,0.0005056262016296387,8.17764230305329e-05,1.0,1.0,6.1830315589904785
35,6,5866,supports_cannot,0.00048501789569854736,0.00048501789569854736,0.0006204396486282349,0.0005855000345036387,0.75,0.75,0.8283823728561401
36,18,5964,supports_cannot,0.000478595495223999,0.000478595495223999,0.000478595495223999,0.00021463766461238265,1.0,1.0,2.229783296585083
37,16,12528,supports_cannot,0.00046190619468688965,0.00046190619468688965,0.00046190619468688965,0.00021475409448612481,1.0,1.0,2.1508610248565674
38,26,592,supports_cannot,0.0004540085792541504,0.0004540085792541504,0.0004540085792541504,9.041195880854502e-05,1.0,1.0,5.021554470062256
40,16,11277,supports_cannot,0.0004502534866333008,0.0004502534866333008,0.0004502534866333008,0.00012962063192389905,1.0,1.0,3.4736251831054688
44,16,4974,supports_cannot,0.00042831897735595703,0.00042831897735595703,0.00042831897735595703,0.00012683392560575157,1.0,1.0,3.3770062923431396
46,19,8952,supports_cannot,0.00041431188583374023,0.00041431188583374023,0.00041431188583374023,0.0001553767069708556,1.0,1.0,2.666499376296997
47,31,11999,supports_cannot,0.0004044771194458008,0.0004044771194458008,0.0004044771194458008,0.00020097983360756189,1.0,1.0,2.012525796890259
48,28,4130,supports_cannot,0.00040030479431152344,0.00040030479431152344,0.00040030479431152344,4.294546670280397e-05,1.0,1.0,9.321234703063965
50,30,12394,supports_cannot,0.0003828704357147217,0.0003828704357147217,0.0003828704357147217,0.00012864671589341015,1.0,1.0,2.9761383533477783
51,31,5099,supports_cannot,0.0003737509250640869,0.0003737509250640869,0.0003737509250640869,0.00016248093743342906,1.0,1.0,2.3002755641937256
53,31,8591,supports_cannot,0.0003694891929626465,0.0003694891929626465,0.0003694891929626465,0.00013525252870749682,1.0,1.0,2.731846809387207
55,22,7399,supports_cannot,0.0003667771816253662,0.0003667771816253662,0.0003667771816253662,9.952895197784528e-05,1.0,1.0,3.6851305961608887
60,10,11570,supports_cannot,0.0003523528575897217,0.0003523528575897217,0.00047144293785095215,0.00048203833284787834,0.75,0.75,0.7309644222259521
61,27,1686,supports_cannot,0.0003496408462524414,0.0003496408462524414,0.0003496408462524414,6.987911910982803e-05,1.0,1.0,5.003509521484375
64,11,4258,supports_cannot,0.00034546852111816406,0.00034546852111816406,0.0004417300224304199,0.00047721966984681785,0.75,0.75,0.7239192724227905
69,28,12743,supports_cannot,0.00033542513847351074,0.00033542513847351074,0.00033542513847351074,8.088841423159465e-05,1.0,1.0,4.146763801574707
74,18,3236,supports_cannot,0.0003267526626586914,0.0003267526626586914,0.0003267526626586914,8.921977132558823e-05,1.0,1.0,3.662334680557251
77,17,1632,supports_cannot,0.00032272934913635254,0.00032272934913635254,0.00032272934913635254,0.00021831471531186253,1.0,1.0,1.4782757759094238
78,16,3884,supports_cannot,0.00032263994216918945,0.00032263994216918945,0.00032263994216918945,0.00019742953008972108,1.0,1.0,1.6342030763626099
79,23,2343,supports_cannot,0.0003219395875930786,0.0003219395875930786,0.0003219395875930786,0.00018817518139258027,1.0,1.0,1.7108503580093384
82,19,12151,supports_cannot,0.000319749116897583,0.000319749116897583,0.000319749116897583,0.00018947037460748106,1.0,1.0,1.6875942945480347
86,30,11618,supports_cannot,0.0003122687339782715,0.0003122687339782715,0.0003122687339782715,4.285814429749735e-05,1.0,1.0,7.286100387573242
87,18,11215,supports_cannot,0.00031153857707977295,0.00031153857707977295,0.00031153857707977295,0.00019408618391025811,1.0,1.0,1.6051558256149292
88,18,8592,supports_cannot,0.00030866265296936035,0.00030866265296936035,0.00030866265296936035,0.00010288843623129651,1.0,1.0,2.999974250793457
