experiment,top_k,epsilon,scope,num_samples,attack_success_count,attack_success_rate,safe_to_unsafe,unsafe_to_safe,blank_responses,repetitive_responses,median_word_count,median_unique_word_ratio
baseline,0,0.0,none,60,17,28.333333333333332,0,0,0,45,435.5,0.10243027753109425
signed_top100_eps0p5_last,100,0.5,last,60,20,33.333333333333336,8,5,0,33,389.5,0.3070103522545682
