rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
68,31,10620,supports_refusal,0.0625,0.0625,0.0625,0.0,1.0,1.0
69,23,12220,supports_refusal,0.0615234375,0.0615234375,0.0615234375,0.0,1.0,1.0
70,31,12606,supports_refusal,0.061279296875,0.061279296875,0.061279296875,0.0,1.0,1.0
71,30,5831,suppresses_refusal,-0.06103515625,0.06103515625,0.06103515625,0.0,0.0,1.0
72,31,2188,supports_refusal,0.060302734375,0.060302734375,0.060302734375,0.0,1.0,1.0
73,14,3917,supports_refusal,0.060302734375,0.060302734375,0.060302734375,0.0,1.0,1.0
74,31,12252,supports_refusal,0.060302734375,0.060302734375,0.060302734375,0.0,1.0,1.0
75,30,12395,suppresses_refusal,-0.06005859375,0.06005859375,0.06005859375,0.0,0.0,1.0
76,31,1324,supports_refusal,0.05908203125,0.05908203125,0.05908203125,0.0,1.0,1.0
77,31,8937,suppresses_refusal,-0.05908203125,0.05908203125,0.05908203125,0.0,0.0,1.0
78,31,5082,suppresses_refusal,-0.058837890625,0.058837890625,0.058837890625,0.0,0.0,1.0
79,31,1335,supports_refusal,0.058837890625,0.058837890625,0.058837890625,0.0,1.0,1.0
80,22,7981,supports_refusal,0.05859375,0.05859375,0.05859375,0.0,1.0,1.0
81,30,3382,supports_refusal,0.05859375,0.05859375,0.05859375,0.0,1.0,1.0
82,31,5975,supports_refusal,0.05859375,0.05859375,0.05859375,0.0,1.0,1.0
83,29,5198,suppresses_refusal,-0.05810546875,0.05810546875,0.05810546875,0.0,0.0,1.0
84,28,1016,supports_refusal,0.05810546875,0.05810546875,0.05810546875,0.0,1.0,1.0
85,31,1674,supports_refusal,0.057861328125,0.057861328125,0.057861328125,0.0,1.0,1.0
86,27,11770,suppresses_refusal,-0.057373046875,0.057373046875,0.057373046875,0.0,0.0,1.0
87,16,1241,supports_refusal,0.056884765625,0.056884765625,0.056884765625,0.0,1.0,1.0
88,31,13076,supports_refusal,0.056884765625,0.056884765625,0.056884765625,0.0,1.0,1.0
89,30,9247,suppresses_refusal,-0.056396484375,0.056396484375,0.056396484375,0.0,0.0,1.0
90,29,7733,supports_refusal,0.056396484375,0.056396484375,0.056396484375,0.0,1.0,1.0
91,31,10176,supports_refusal,0.0556640625,0.0556640625,0.0556640625,0.0,1.0,1.0
92,27,6070,suppresses_refusal,-0.055419921875,0.055419921875,0.055419921875,0.0,0.0,1.0
93,18,2106,suppresses_refusal,-0.055419921875,0.055419921875,0.055419921875,0.0,0.0,1.0
94,9,4255,suppresses_refusal,-0.05517578125,0.05517578125,0.05517578125,0.0,0.0,1.0
95,31,12446,suppresses_refusal,-0.05517578125,0.05517578125,0.05517578125,0.0,0.0,1.0
96,30,10238,suppresses_refusal,-0.054443359375,0.054443359375,0.054443359375,0.0,0.0,1.0
97,31,8664,supports_refusal,0.05419921875,0.05419921875,0.05419921875,0.0,1.0,1.0
98,31,9187,suppresses_refusal,-0.05419921875,0.05419921875,0.05419921875,0.0,0.0,1.0
99,31,102,supports_refusal,0.05419921875,0.05419921875,0.05419921875,0.0,1.0,1.0
100,29,13328,suppresses_refusal,-0.05419921875,0.05419921875,0.05419921875,0.0,0.0,1.0
