rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
1,29,4655,supports_refusal,0.26318359375,0.26318359375,0.26318359375,0.02197265625,1.0,1.0
2,31,2398,supports_refusal,0.25634765625,0.25634765625,0.25634765625,0.02880859375,1.0,1.0
3,31,4302,supports_refusal,0.2001953125,0.2001953125,0.2001953125,0.0439453125,1.0,1.0
4,27,8140,supports_refusal,0.18701171875,0.18701171875,0.18701171875,0.03173828125,1.0,1.0
5,30,14130,supports_refusal,0.1845703125,0.1845703125,0.1845703125,0.0625,1.0,1.0
6,31,1209,supports_refusal,0.1826171875,0.1826171875,0.1826171875,0.0205078125,1.0,1.0
7,30,13607,supports_refusal,0.17431640625,0.17431640625,0.17431640625,0.00830078125,1.0,1.0
8,13,4208,suppresses_refusal,-0.17138671875,0.17138671875,0.17138671875,0.04736328125,0.0,1.0
9,26,2407,supports_refusal,0.15380859375,0.15380859375,0.15380859375,0.02392578125,1.0,1.0
10,29,11082,suppresses_refusal,-0.15185546875,0.15185546875,0.15185546875,0.01513671875,0.0,1.0
11,31,5593,suppresses_refusal,-0.13525390625,0.13525390625,0.13525390625,0.00244140625,0.0,1.0
12,30,10879,suppresses_refusal,-0.1279296875,0.1279296875,0.1279296875,0.0263671875,0.0,1.0
13,29,4145,suppresses_refusal,-0.127197265625,0.127197265625,0.127197265625,0.014404296875,0.0,1.0
14,31,2743,supports_refusal,0.123779296875,0.123779296875,0.123779296875,0.048095703125,1.0,1.0
15,30,12387,suppresses_refusal,-0.114990234375,0.114990234375,0.114990234375,0.030517578125,0.0,1.0
16,29,6857,supports_refusal,0.112060546875,0.112060546875,0.112060546875,0.010498046875,1.0,1.0
17,11,4258,suppresses_refusal,-0.1103515625,0.1103515625,0.1103515625,0.0244140625,0.0,1.0
18,31,5230,supports_refusal,0.100830078125,0.100830078125,0.100830078125,0.009521484375,1.0,1.0
19,31,1834,supports_refusal,0.094970703125,0.094970703125,0.094970703125,0.031982421875,1.0,1.0
20,12,13860,suppresses_refusal,-0.093505859375,0.093505859375,0.093505859375,0.019287109375,0.0,1.0
21,31,10014,supports_refusal,0.092529296875,0.092529296875,0.092529296875,0.021728515625,1.0,1.0
22,31,714,suppresses_refusal,-0.09228515625,0.09228515625,0.09228515625,0.02392578125,0.0,1.0
23,23,1751,suppresses_refusal,-0.0908203125,0.0908203125,0.0908203125,0.00927734375,0.0,1.0
24,28,8945,suppresses_refusal,-0.0888671875,0.0888671875,0.0888671875,0.01708984375,0.0,1.0
25,31,12529,supports_refusal,0.08837890625,0.08837890625,0.08837890625,0.01318359375,1.0,1.0
26,28,3697,suppresses_refusal,-0.085693359375,0.085693359375,0.085693359375,0.010986328125,0.0,1.0
27,19,4481,suppresses_refusal,-0.08544921875,0.08544921875,0.08544921875,0.0185546875,0.0,1.0
28,27,3135,supports_refusal,0.08349609375,0.08349609375,0.08349609375,0.03271484375,1.0,1.0
29,26,10406,supports_refusal,0.083251953125,0.083251953125,0.083251953125,0.000244140625,1.0,1.0
30,26,14,supports_refusal,0.082763671875,0.082763671875,0.082763671875,0.017822265625,1.0,1.0
31,31,11817,suppresses_refusal,-0.0819091796875,0.0819091796875,0.0819091796875,0.0479736328125,0.0,1.0
32,23,6046,supports_refusal,0.0811767578125,0.0811767578125,0.0811767578125,0.0487060546875,1.0,1.0
