strength,positive_scale,negative_scale,safety_n,safety_unsafe,safety_rate_pct,safety_wilson_low_pct,safety_wilson_high_pct,safety_repetitive,safety_median_words,capability_n,capability_correct,capability_rate_pct,capability_wilson_low_pct,capability_wilson_high_pct,capability_repetitive,capability_extraction_failures,capability_median_tokens
0.0,1.0,1.0,100,34,34.0,25.461520797348165,43.72227114527538,75,433.0,100,68,68.0,58.337381389547616,76.33085267500091,3,0,170.5
0.25,1.25,0.75,100,32,32.0,23.66914732499909,41.662618610452384,78,433.5,100,65,65.0,55.254443296887956,73.63575175690247,8,0,175.5
0.5,1.5,0.5,100,30,30.0,21.89488529493276,39.58485463334666,70,431.5,100,67,67.0,57.30534379509052,75.43687726587197,8,0,177.5
0.75,1.75,0.25,100,22,22.0,15.0012823846054,31.070353514985793,72,427.0,100,64,64.0,54.235402451608735,72.72877959859568,11,0,181.0
1.0,2.0,0.0,100,19,19.0,12.514751509768734,27.778845379064375,64,419.5,100,62,62.0,52.20975529551107,70.90240074752127,15,0,206.0
1.5,2.5,0.0,100,23,23.0,15.843265880303449,32.15438302287378,65,412.5,100,63,63.0,53.22052958094291,71.81763946567547,12,0,201.0
2.0,3.0,0.0,100,20,20.0,13.33669333310325,28.88291655931589,45,318.5,100,59,59.0,49.201430053410775,68.13268697886348,10,0,172.0
