rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
1,30,5341,suppresses_cannot,-0.0389994196593761,0.0389994196593761,0.0389994196593761,0.0495647676289081,0.0,1.0,0.7868375182151794
8,20,5425,suppresses_cannot,-0.0116213764995336,0.0116213764995336,0.0116213764995336,0.0136335706338286,0.0,1.0,0.8524088859558105
10,27,6070,suppresses_cannot,-0.0113402344286441,0.0113402344286441,0.0113402344286441,0.0109015544876456,0.0,1.0,1.0402401685714722
13,24,5326,suppresses_cannot,-0.0101906787604093,0.0101906787604093,0.0104982135817408,0.0122821824625134,0.0154639175161719,0.984536111354828,0.8297123908996582
19,23,7812,suppresses_cannot,-0.0077183418907225,0.0077183418907225,0.0078958822414278,0.0090054580941796,0.0463917516171932,0.9536082744598388,0.8570737838745117
20,20,6356,suppresses_cannot,-0.0075061442330479,0.0075061442330479,0.0075061442330479,0.0057204896584153,0.0,1.0,1.3121505975723269
21,31,5041,suppresses_cannot,-0.0074825482442975,0.0074825482442975,0.0074825482442975,0.0065969680435955,0.0,1.0,1.1342405080795288
22,30,13853,suppresses_cannot,-0.0071851396933197,0.0071851396933197,0.0071851396933197,0.0060146646574139,0.0,1.0,1.1946035623550415
26,22,12959,suppresses_cannot,-0.0065341624431312,0.0065341624431312,0.0067280726507306,0.0073264162056148,0.0670103058218956,0.9329897165298462,0.8918634057044983
28,22,8514,suppresses_cannot,-0.0062408177182078,0.0062408177182078,0.0062641925178468,0.0062621352262794,0.0154639175161719,0.984536111354828,0.9965957999229432
29,30,5905,suppresses_cannot,-0.0060759084299206,0.0060759084299206,0.0060759084299206,0.0048550246283411,0.0,1.0,1.251468062400818
33,16,2432,suppresses_cannot,-0.0058316690847277,0.0058316690847277,0.0058316690847277,0.0054994896054267,0.0,1.0,1.0604019165039062
34,31,714,suppresses_cannot,-0.005712155252695,0.005712155252695,0.005712155252695,0.005212262738496,0.0,1.0,1.0959069728851318
36,10,9064,suppresses_cannot,-0.005480037536472,0.005480037536472,0.0062915873713791,0.0059002824127674,0.0773195847868919,0.92268043756485,0.9287754893302916
37,31,9678,suppresses_cannot,-0.005310196429491,0.005310196429491,0.005310196429491,0.0046354113146662,0.0,1.0,1.1455718278884888
38,12,1481,suppresses_cannot,-0.0052438029088079,0.0052438029088079,0.0057927160523831,0.0073823612183332,0.0876288637518882,0.9123711585998536,0.7103151082992554
39,16,6950,suppresses_cannot,-0.0052130920812487,0.0052130920812487,0.0055087287910282,0.0082906251773238,0.0515463910996913,0.9484536051750184,0.6287935972213745
41,14,3917,suppresses_cannot,-0.0049982932396233,0.0049982932396233,0.0056678955443203,0.0072379717603325,0.1340206116437912,0.8659793734550476,0.6905654668807983
49,28,5152,suppresses_cannot,-0.0045416723005473,0.0045416723005473,0.0045416723005473,0.0033988163340836,0.0,1.0,1.336251139640808
52,16,8987,suppresses_cannot,-0.0043361457064747,0.0043361457064747,0.0043361457064747,0.0057620177976787,0.0,1.0,0.7525394558906555
53,20,9424,suppresses_cannot,-0.0043312120251357,0.0043312120251357,0.00533641083166,0.0073319454677402,0.1701030880212783,0.8298969268798828,0.5907316207885742
