rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_ig,positive_fraction,sign_consistency,snr
1,30,5341,suppresses_cannot,-0.0041758017614483,0.0041758017614483,0.0041758017614483,0.0055041927844285,0.0,1.0,0.7586583495140076
2,31,9936,supports_cannot,0.0040472452528774,0.0040472452528774,0.0040743253193795,0.0032019508071243,0.9742268323898317,0.9742268323898317,1.2639936208724976
3,16,1241,supports_cannot,0.00273078517057,0.00273078517057,0.0027443917933851,0.0029968081507831,0.984536111354828,0.984536111354828,0.9112312197685242
4,11,11321,supports_cannot,0.0018924450268968,0.0018924450268968,0.0018924450268968,0.0021807991433888,1.0,1.0,0.8677759170532227
5,13,4208,supports_cannot,0.0018735865596681,0.0018735865596681,0.001947212498635,0.0024527625646442,0.938144326210022,0.938144326210022,0.7638679146766663
6,20,2204,supports_cannot,0.001392843783833,0.001392843783833,0.001392843783833,0.0013753772946074,1.0,1.0,1.0126993656158447
7,25,8701,supports_cannot,0.0012471012305468,0.0012471012305468,0.0012471012305468,0.0009534850250929,1.0,1.0,1.3079400062561035
8,27,6070,suppresses_cannot,-0.0012245386606082,0.0012245386606082,0.0012245386606082,0.0012748100562021,0.0,1.0,0.9605655670166016
9,20,5425,suppresses_cannot,-0.0012222337536513,0.0012222337536513,0.0012222337536513,0.0014733874704688,0.0,1.0,0.829539954662323
10,24,5326,suppresses_cannot,-0.0011762202484533,0.0011762202484533,0.0012032181257382,0.0013992215972393,0.0103092780336737,0.9896907210350036,0.8406246900558472
11,7,6673,supports_cannot,0.0011101214913651,0.0011101214913651,0.0011290339753031,0.0012919631553813,0.9793814420700072,0.9793814420700072,0.8592516779899597
12,6,5866,supports_cannot,0.0010526309488341,0.0010526309488341,0.0011830078437924,0.0013263901928439,0.8969072103500366,0.8969072103500366,0.7936058044433594
13,11,4258,supports_cannot,0.0010494878515601,0.0010494878515601,0.0011421497911214,0.0028023673221468,0.7216494679450989,0.7216494679450989,0.3745004534721374
14,20,3972,supports_cannot,0.0009966344805434,0.0009966344805434,0.0011446881107985,0.0020147182513028,0.7886598110198975,0.7886598110198975,0.4946768581867218
15,12,13860,supports_cannot,0.0009883049642667,0.0009883049642667,0.0010000341571867,0.0011119965929538,0.9793814420700072,0.9793814420700072,0.8887661695480347
16,23,7812,suppresses_cannot,-0.0009197266772389,0.0009197266772389,0.0009323911508545,0.0010541800875216,0.0360824726521968,0.9639175534248352,0.8724569082260132
17,31,4690,supports_cannot,0.0009020640864036,0.0009020640864036,0.0011730096302926,0.0020499734673649,0.6546391844749451,0.6546391844749451,0.4400369524955749
18,30,13853,suppresses_cannot,-0.0008754103328101,0.0008754103328101,0.0008754103328101,0.0007495792815461,0.0,1.0,1.1678688526153564
19,31,13076,supports_cannot,0.00084961875109,0.00084961875109,0.00084961875109,0.0008519959519617,1.0,1.0,0.9972098469734192
20,9,4255,supports_cannot,0.000826985866297,0.000826985866297,0.0008526705787517,0.0008878977969288,0.9432989954948424,0.9432989954948424,0.9313976168632508
21,20,6356,suppresses_cannot,-0.0008084202418103,0.0008084202418103,0.0008084202418103,0.0006255051121115,0.0,1.0,1.292427897453308
22,22,12959,suppresses_cannot,-0.0007666088058613,0.0007666088058613,0.0007857689633965,0.0008753165020607,0.0670103058218956,0.9329897165298462,0.8758075833320618
23,31,5041,suppresses_cannot,-0.0007598387892358,0.0007598387892358,0.0007598387892358,0.0007013530703261,0.0,1.0,1.0833898782730105
24,31,14073,supports_cannot,0.0007399154710583,0.0007399154710583,0.0007399154710583,0.0006919850129634,1.0,1.0,1.0692651271820068
25,15,11853,supports_cannot,0.0007347820792347,0.0007347820792347,0.0007422068738378,0.0011325511150062,0.9587628841400146,0.9587628841400146,0.6487849354743958
26,22,4821,supports_cannot,0.0007174039492383,0.0007174039492383,0.0007266752654686,0.0006828230689279,0.9896907210350036,0.9896907210350036,1.050644040107727
27,15,5679,supports_cannot,0.0007159544038586,0.0007159544038586,0.0007167065050452,0.0007889355765655,0.9896907210350036,0.9896907210350036,0.9074941277503968
28,30,5905,suppresses_cannot,-0.0006638989434577,0.0006638989434577,0.0006638989434577,0.0005487517919391,0.0,1.0,1.2098346948623655
29,22,8514,suppresses_cannot,-0.000662421749439,0.000662421749439,0.0006646738038398,0.0006842488073743,0.0154639175161719,0.984536111354828,0.9681007266044616
30,18,5964,supports_cannot,0.0006489446386694,0.0006489446386694,0.0006506215431727,0.0006309860618785,0.9896907210350036,0.9896907210350036,1.0284610986709597
31,16,4974,supports_cannot,0.0006257600034587,0.0006257600034587,0.0006257600034587,0.0005384251126088,1.0,1.0,1.162204384803772
32,31,714,suppresses_cannot,-0.0006026226328685,0.0006026226328685,0.0006026226328685,0.0005727799143642,0.0,1.0,1.052101492881775
33,16,6310,supports_cannot,0.0005944629083387,0.0005944629083387,0.0005972029175609,0.0006887495983392,0.9793814420700072,0.9793814420700072,0.863104522228241
34,16,6950,suppresses_cannot,-0.0005940039409324,0.0005940039409324,0.0006237724446691,0.0008922726847231,0.0463917516171932,0.9536082744598388,0.6657201647758484
35,14,3917,suppresses_cannot,-0.0005924105644226,0.0005924105644226,0.0006503352196887,0.00082059786655,0.1030927821993827,0.8969072103500366,0.7219255566596985
36,16,2432,suppresses_cannot,-0.0005880686221644,0.0005880686221644,0.0005880686221644,0.000573247380089,0.0,1.0,1.0258548259735107
37,31,5099,supports_cannot,0.0005743847577832,0.0005743847577832,0.0005748689873144,0.0006487192586064,0.9948453903198242,0.9948453903198242,0.8854134678840637
38,26,529,supports_cannot,0.0005584527971222,0.0005584527971222,0.0005596737610176,0.0005132968071848,0.9896907210350036,0.9896907210350036,1.0879725217819214
39,31,9678,suppresses_cannot,-0.0005482379929162,0.0005482379929162,0.0005482379929162,0.0004963602987118,0.0,1.0,1.1045161485671997
40,19,900,supports_cannot,0.0005481694824993,0.0005481694824993,0.0005485062138177,0.0005424796254374,0.9948453903198242,0.9948453903198242,1.0104886293411257
41,26,592,supports_cannot,0.0005339024355635,0.0005339024355635,0.0005339024355635,0.0004803294432349,1.0,1.0,1.1115338802337646
42,10,9064,suppresses_cannot,-0.0005257624434307,0.0005257624434307,0.0006167443352751,0.0006182427168823,0.0824742242693901,0.9175257682800292,0.8504142761230469
43,28,4130,supports_cannot,0.000525061332155,0.000525061332155,0.000525061332155,0.0004757010610774,1.0,1.0,1.103763222694397
44,16,11277,supports_cannot,0.000521934533026,0.000521934533026,0.000521934533026,0.0004038203915115,1.0,1.0,1.292491793632507
45,12,1481,suppresses_cannot,-0.0005151641671545,0.0005151641671545,0.0005801277002319,0.00083646614803,0.0979381427168846,0.9020618796348572,0.6158816814422607
46,15,10757,supports_cannot,0.0005065854056738,0.0005065854056738,0.0005082064308226,0.000561929482501,0.9948453903198242,0.9948453903198242,0.9015106558799744
47,10,4789,supports_cannot,0.0005031258915551,0.0005031258915551,0.000658685399685,0.0016719399718567,0.6649484634399414,0.6649484634399414,0.3009234070777893
48,28,5152,suppresses_cannot,-0.0004988383152522,0.0004988383152522,0.0004988383152522,0.000382406899007,0.0,1.0,1.3044699430465698
49,18,7148,supports_cannot,0.0004889897536486,0.0004889897536486,0.0005216291174292,0.000722829834558,0.9175257682800292,0.9175257682800292,0.6764935851097107
50,17,13532,suppresses_cannot,-0.0004855633887927,0.0004855633887927,0.0005716865998692,0.0006820372655056,0.1082474216818809,0.8917526006698608,0.7119308710098267
51,18,7417,supports_cannot,0.0004819438036065,0.0004819438036065,0.0006415011594071,0.0012833783403038,0.623711347579956,0.623711347579956,0.3755274415016174
52,20,13715,suppresses_cannot,-0.0004776909772772,0.0004776909772772,0.0004776909772772,0.000786535849329,0.0,1.0,0.6073352694511414
53,16,12528,supports_cannot,0.0004756724229082,0.0004756724229082,0.0004756724229082,0.0004501574439927,1.0,1.0,1.0566800832748413
54,27,8140,supports_cannot,0.0004663565778173,0.0004663565778173,0.0004790498933289,0.000541565765161,0.9484536051750184,0.9484536051750184,0.8611264228820801
55,20,9424,suppresses_cannot,-0.0004660499398596,0.0004660499398596,0.0005669753300026,0.0007493781740777,0.1391752511262893,0.8608247637748718,0.6219155788421631
56,30,3382,supports_cannot,0.0004624251159839,0.0004624251159839,0.000466937868623,0.0008295078296214,0.9329897165298462,0.9329897165298462,0.5574692487716675
57,16,8987,suppresses_cannot,-0.0004533956234809,0.0004533956234809,0.0004533956234809,0.000631196598988,0.0,1.0,0.7183112502098083
58,31,11999,supports_cannot,0.0004518671194091,0.0004518671194091,0.0004518671194091,0.0004713168891612,1.0,1.0,0.9587331414222716
59,20,1168,supports_cannot,0.0004472993605304,0.0004472993605304,0.0004472993605304,0.0002969001070596,1.0,1.0,1.5065652132034302
60,24,3804,suppresses_cannot,-0.000445816636784,0.000445816636784,0.000445816636784,0.0004212430503685,0.0,1.0,1.0583359003067017
61,14,5718,suppresses_cannot,-0.0004457502509467,0.0004457502509467,0.0004635769582819,0.0005590128130279,0.0360824726521968,0.9639175534248352,0.7973882555961609
62,17,4374,suppresses_cannot,-0.0004448995168786,0.0004448995168786,0.0004718709096778,0.0004552440950646,0.0567010305821895,0.9432989954948424,0.9772768616676332
63,31,10712,suppresses_cannot,-0.0004373238771222,0.0004373238771222,0.0004373238771222,0.000379027420422,0.0,1.0,1.153805375099182
64,31,8591,supports_cannot,0.0004371567629277,0.0004371567629277,0.0004371567629277,0.0004292076046112,1.0,1.0,1.0185205936431885
65,26,13447,suppresses_cannot,-0.0004330335941631,0.0004330335941631,0.0004330335941631,0.0003620705392677,0.0,1.0,1.195992350578308
66,24,12782,suppresses_cannot,-0.0004282670561224,0.0004282670561224,0.0004282670561224,0.0003052682732231,0.0,1.0,1.4029202461242676
67,26,11941,supports_cannot,0.0004279570421203,0.0004279570421203,0.0004372295516077,0.0005401373491622,0.9432989954948424,0.9432989954948424,0.7923114895820618
68,10,11570,supports_cannot,0.0004221551062073,0.0004221551062073,0.0005737438914366,0.0010477098403498,0.876288652420044,0.876288652420044,0.4029313027858734
69,30,11970,suppresses_cannot,-0.0004195595392957,0.0004195595392957,0.0004195595392957,0.0003373279178049,0.0,1.0,1.2437735795974731
70,10,1084,suppresses_cannot,-0.000414863374317,0.000414863374317,0.0006301627145148,0.0007794640259817,0.1701030880212783,0.8298969268798828,0.5322418212890625
71,20,5237,supports_cannot,0.0004126484855078,0.0004126484855078,0.0004128752334509,0.0004032956785522,0.9948453903198242,0.9948453903198242,1.023190975189209
72,20,9623,suppresses_cannot,-0.0004101441591046,0.0004101441591046,0.0004107131680939,0.0003473305550869,0.0051546390168368,0.9948453903198242,1.1808468103408811
73,22,7399,supports_cannot,0.0004097373748663,0.0004097373748663,0.0004097373748663,0.0003801726561505,1.0,1.0,1.0777665376663208
74,19,8952,supports_cannot,0.0004090076836291,0.0004090076836291,0.0004090076836291,0.0002548279298935,1.0,1.0,1.6050347089767456
75,28,4074,suppresses_cannot,-0.000404268503189,0.000404268503189,0.0004044350353069,0.0004122731625102,0.0051546390168368,0.9948453903198242,0.9805840849876404
76,23,2343,supports_cannot,0.0004013134748674,0.0004013134748674,0.0004013134748674,0.0004737270064651,1.0,1.0,0.8471407890319824
77,31,12446,supports_cannot,0.0003996641898993,0.0003996641898993,0.0003996641898993,0.0004144025151617,1.0,1.0,0.9644347429275512
78,18,8592,supports_cannot,0.0003974041319452,0.0003974041319452,0.0003988973330706,0.0002916039084084,0.9948453903198242,0.9948453903198242,1.3628216981887815
79,28,6033,suppresses_cannot,-0.0003900746232829,0.0003900746232829,0.0003906970669049,0.0003635245084296,0.0103092780336737,0.9896907210350036,1.0730352401733398
80,18,3031,suppresses_cannot,-0.0003900362062267,0.0003900362062267,0.0003900362062267,0.0004544304392766,0.0,1.0,0.858296811580658
81,27,8839,suppresses_cannot,-0.0003858276177197,0.0003858276177197,0.0003858276177197,0.0003789219772443,0.0,1.0,1.0182244777679443
82,28,3057,supports_cannot,0.0003781570703722,0.0003781570703722,0.0003781570703722,0.0003061215102206,1.0,1.0,1.2353168725967407
83,31,10075,suppresses_cannot,-0.000377919874154,0.000377919874154,0.000377919874154,0.0003550874534994,0.0,1.0,1.0643008947372437
84,30,11618,supports_cannot,0.0003755940706469,0.0003755940706469,0.0003755940706469,0.0003558979660738,1.0,1.0,1.0553419589996338
85,31,7944,suppresses_cannot,-0.0003748904855456,0.0003748904855456,0.0003748904855456,0.0002734767040237,0.0,1.0,1.3708314895629885
86,26,12639,suppresses_cannot,-0.0003739917883649,0.0003739917883649,0.0003739917883649,0.0003484631015453,0.0,1.0,1.07326078414917
87,24,13102,supports_cannot,0.0003711120225489,0.0003711120225489,0.0003711120225489,0.0002828072174452,1.0,1.0,1.3122438192367554
88,13,13879,supports_cannot,0.0003692068275995,0.0003692068275995,0.0004827026859857,0.0009642360964789,0.7371134161949158,0.7371134161949158,0.3829008638858795
89,21,13085,suppresses_cannot,-0.0003686430572997,0.0003686430572997,0.0003686430572997,0.000341309729265,0.0,1.0,1.0800836086273191
90,18,3236,supports_cannot,0.0003663946699816,0.0003663946699816,0.0003680857189465,0.000468889484182,0.984536111354828,0.984536111354828,0.7814094424247742
91,28,12743,supports_cannot,0.0003630239225458,0.0003630239225458,0.0003630239225458,0.0003731298784259,1.0,1.0,0.9729157090187072
92,31,11276,suppresses_cannot,-0.0003626847465056,0.0003626847465056,0.0003626847465056,0.0003376285312697,0.0,1.0,1.0742124319076538
93,12,1889,suppresses_cannot,-0.0003583581710699,0.0003583581710699,0.0003622711810749,0.0003126458614133,0.0206185560673475,0.9793814420700072,1.1462111473083496
94,20,10080,suppresses_cannot,-0.0003582134668249,0.0003582134668249,0.0003584555815905,0.0003382800496183,0.0051546390168368,0.9948453903198242,1.058925747871399
95,24,9569,supports_cannot,0.0003538613964337,0.0003538613964337,0.0003559924371074,0.0003790556802414,0.9948453903198242,0.9948453903198242,0.9335340857505798
96,17,5245,suppresses_cannot,-0.0003524096973706,0.0003524096973706,0.0003524096973706,0.0002942470018751,0.0,1.0,1.1976662874221802
97,31,3611,suppresses_cannot,-0.0003476806450635,0.0003476806450635,0.0003476806450635,0.0003508025547489,0.0,1.0,0.9911006689071656
98,15,5080,supports_cannot,0.0003432207449804,0.0003432207449804,0.0003432207449804,0.0005853869370184,1.0,1.0,0.58631432056427
99,19,14046,supports_cannot,0.0003401615540497,0.0003401615540497,0.0003411649959161,0.0004232238279655,0.969072163105011,0.969072163105011,0.8037391304969788
100,17,1632,supports_cannot,0.0003385958552826,0.0003385958552826,0.000341979204677,0.0003932227264158,0.9793814420700072,0.9793814420700072,0.8610790371894836
101,17,8517,suppresses_cannot,-0.0003385036834515,0.0003385036834515,0.0003385036834515,0.0003044039185624,0.0,1.0,1.1120214462280271
102,15,1832,suppresses_cannot,-0.0003363053838256,0.0003363053838256,0.0003363053838256,0.0003417809784878,0.0,1.0,0.9839792251586914
103,14,1406,supports_cannot,0.0003362509887665,0.0003362509887665,0.000338384474162,0.0004991982132196,0.984536111354828,0.984536111354828,0.673582136631012
104,31,2153,supports_cannot,0.0003361732815392,0.0003361732815392,0.0003361732815392,0.0002987142943311,1.0,1.0,1.1254006624221802
105,23,12181,supports_cannot,0.0003358153335284,0.0003358153335284,0.0003386517637409,0.0003455395053606,0.9587628841400146,0.9587628841400146,0.971858024597168
106,16,6772,supports_cannot,0.0003346711746416,0.0003346711746416,0.0003368992765899,0.0003724684356711,0.9896907210350036,0.9896907210350036,0.8985222578048706
107,30,12394,supports_cannot,0.0003313990600872,0.0003313990600872,0.0003614656161516,0.0004677795805037,0.8917526006698608,0.8917526006698608,0.7084513306617737
108,15,1026,suppresses_cannot,-0.0003292969195172,0.0003292969195172,0.0003297934308648,0.0012890255311504,0.0154639175161719,0.984536111354828,0.2554619014263153
109,15,6918,supports_cannot,0.0003272239700891,0.0003272239700891,0.0003272239700891,0.000375134171918,1.0,1.0,0.8722851276397705
110,27,4251,suppresses_cannot,-0.0003268177970312,0.0003268177970312,0.0003268177970312,0.0003313601773697,0.0,1.0,0.9862917065620422
111,28,13790,supports_cannot,0.0003240510995965,0.0003240510995965,0.0003240510995965,0.0002787532284855,1.0,1.0,1.1625016927719116
112,27,11269,suppresses_cannot,-0.0003204576205462,0.0003204576205462,0.0003204576205462,0.0002851340686902,0.0,1.0,1.1238839626312256
113,18,11215,supports_cannot,0.0003202821826562,0.0003202821826562,0.000320445629768,0.0003110915422439,0.9948453903198242,0.9948453903198242,1.029543161392212
114,16,2995,supports_cannot,0.0003197257756255,0.0003197257756255,0.0003197257756255,0.0002859105006791,1.0,1.0,1.1182721853256226
115,16,14185,suppresses_cannot,-0.0003171766002196,0.0003171766002196,0.000318427075399,0.0002637088764458,0.0154639175161719,0.984536111354828,1.2027528285980225
116,28,7737,supports_cannot,0.0003161974309477,0.0003161974309477,0.0003161974309477,0.0002398038486717,1.0,1.0,1.318566918373108
117,28,9628,supports_cannot,0.0003155832528136,0.0003155832528136,0.0003155832528136,0.0002467724261805,1.0,1.0,1.2788432836532593
118,14,12563,supports_cannot,0.0003129182441625,0.0003129182441625,0.000313293072395,0.0002919552789535,0.9948453903198242,0.9948453903198242,1.071802020072937
119,31,10715,suppresses_cannot,-0.0003107617085333,0.0003107617085333,0.0003107617085333,0.0002888123854063,0.0,1.0,1.0759985446929932
120,22,9265,suppresses_cannot,-0.0003104464849457,0.0003104464849457,0.0003104464849457,0.0003124032809864,0.0,1.0,0.9937363266944884
121,15,630,suppresses_cannot,-0.0003101168258581,0.0003101168258581,0.0003101334150414,0.0003118980093859,0.0051546390168368,0.9948453903198242,0.994289219379425
122,17,9255,suppresses_cannot,-0.0003089877136517,0.0003089877136517,0.0003089877136517,0.000242288748268,0.0,1.0,1.27528715133667
123,29,90,supports_cannot,0.0003081335744354,0.0003081335744354,0.0003081335744354,0.0003023119061253,1.0,1.0,1.0192571878433228
